Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Previously reported daily cases,Change in daily cases,Cumulative lab-confirmed cases,Previously reported cumulative cases,Change in cumulative cases
England,E92000001,Nation,2020-05-04,92.0,0.0,92.0,128188,126346.0,1842.0
South West,E12000009,Region,2020-05-04,8.0,,,6657,,
South East,E12000008,Region,2020-05-04,17.0,,,17999,,
London,E12000007,Region,2020-05-04,4.0,,,25240,,
East of England,E12000006,Region,2020-05-04,0.0,,,11239,,
West Midlands,E12000005,Region,2020-05-04,5.0,,,14016,,
East Midlands,E12000004,Region,2020-05-04,5.0,,,7210,,
Yorkshire and The Humber,E12000003,Region,2020-05-04,34.0,,,11298,,
North West,E12000002,Region,2020-05-04,2.0,,,20768,,
North East,E12000001,Region,2020-05-04,13.0,,,8331,,
Worcestershire,E10000034,Upper tier local authority,2020-05-04,0.0,,,1201,,
West Sussex,E10000032,Upper tier local authority,2020-05-04,0.0,,,1185,,
Warwickshire,E10000031,Upper tier local authority,2020-05-04,0.0,,,1241,,
Surrey,E10000030,Upper tier local authority,2020-05-04,0.0,,,2647,,
Suffolk,E10000029,Upper tier local authority,2020-05-04,0.0,,,1139,,
Staffordshire,E10000028,Upper tier local authority,2020-05-04,2.0,,,1843,,
Somerset,E10000027,Upper tier local authority,2020-05-04,0.0,,,539,,
Oxfordshire,E10000025,Upper tier local authority,2020-05-04,0.0,,,1630,,
Nottinghamshire,E10000024,Upper tier local authority,2020-05-04,1.0,,,1165,,
North Yorkshire,E10000023,Upper tier local authority,2020-05-04,4.0,,,1055,,
Northamptonshire,E10000021,Upper tier local authority,2020-05-04,0.0,,,1064,,
Norfolk,E10000020,Upper tier local authority,2020-05-04,0.0,,,1697,,
Lincolnshire,E10000019,Upper tier local authority,2020-05-04,0.0,,,884,,
Leicestershire,E10000018,Upper tier local authority,2020-05-04,0.0,,,984,,
Lancashire,E10000017,Upper tier local authority,2020-05-04,1.0,,,2962,,
Kent,E10000016,Upper tier local authority,2020-05-04,0.0,,,3544,,
Hertfordshire,E10000015,Upper tier local authority,2020-05-04,0.0,,,2411,,
Hampshire,E10000014,Upper tier local authority,2020-05-04,6.0,,,2915,,
Gloucestershire,E10000013,Upper tier local authority,2020-05-04,0.0,,,1267,,
Essex,E10000012,Upper tier local authority,2020-05-04,0.0,,,2699,,
East Sussex,E10000011,Upper tier local authority,2020-05-04,3.0,,,613,,
Devon,E10000008,Upper tier local authority,2020-05-04,2.0,,,750,,
Derbyshire,E10000007,Upper tier local authority,2020-05-04,3.0,,,1344,,
Cumbria,E10000006,Upper tier local authority,2020-05-04,0.0,,,2007,,
Cambridgeshire,E10000003,Upper tier local authority,2020-05-04,0.0,,,827,,
Buckinghamshire,E10000002,Upper tier local authority,2020-05-04,0.0,,,859,,
Westminster,E09000033,Upper tier local authority,2020-05-04,0.0,,,629,,
Wandsworth,E09000032,Upper tier local authority,2020-05-04,0.0,,,942,,
Waltham Forest,E09000031,Upper tier local authority,2020-05-04,1.0,,,731,,
Tower Hamlets,E09000030,Upper tier local authority,2020-05-04,0.0,,,607,,
Sutton,E09000029,Upper tier local authority,2020-05-04,0.0,,,693,,
Southwark,E09000028,Upper tier local authority,2020-05-04,0.0,,,1218,,
Richmond upon Thames,E09000027,Upper tier local authority,2020-05-04,0.0,,,384,,
Redbridge,E09000026,Upper tier local authority,2020-05-04,1.0,,,696,,
Newham,E09000025,Upper tier local authority,2020-05-04,0.0,,,958,,
Merton,E09000024,Upper tier local authority,2020-05-04,0.0,,,659,,
Lewisham,E09000023,Upper tier local authority,2020-05-04,0.0,,,938,,
Lambeth,E09000022,Upper tier local authority,2020-05-04,0.0,,,1156,,
Kingston upon Thames,E09000021,Upper tier local authority,2020-05-04,0.0,,,472,,
Kensington and Chelsea,E09000020,Upper tier local authority,2020-05-04,0.0,,,472,,
Islington,E09000019,Upper tier local authority,2020-05-04,0.0,,,423,,
Hounslow,E09000018,Upper tier local authority,2020-05-04,0.0,,,676,,
Hillingdon,E09000017,Upper tier local authority,2020-05-04,0.0,,,737,,
Havering,E09000016,Upper tier local authority,2020-05-04,0.0,,,659,,
Harrow,E09000015,Upper tier local authority,2020-05-04,0.0,,,951,,
Haringey,E09000014,Upper tier local authority,2020-05-04,0.0,,,555,,
Hammersmith and Fulham,E09000013,Upper tier local authority,2020-05-04,0.0,,,627,,
Hackney,E09000012,Upper tier local authority,2020-05-04,0.0,,,614,,
Greenwich,E09000011,Upper tier local authority,2020-05-04,0.0,,,652,,
Enfield,E09000010,Upper tier local authority,2020-05-04,0.0,,,844,,
Ealing,E09000009,Upper tier local authority,2020-05-04,1.0,,,1102,,
Croydon,E09000008,Upper tier local authority,2020-05-04,0.0,,,1420,,
Camden,E09000007,Upper tier local authority,2020-05-04,0.0,,,587,,
Bromley,E09000006,Upper tier local authority,2020-05-04,0.0,,,1108,,
Brent,E09000005,Upper tier local authority,2020-05-04,0.0,,,1387,,
Bexley,E09000004,Upper tier local authority,2020-05-04,0.0,,,641,,
Barnet,E09000003,Upper tier local authority,2020-05-04,0.0,,,1224,,
Barking and Dagenham,E09000002,Upper tier local authority,2020-05-04,1.0,,,462,,
City of London,E09000001,Upper tier local authority,2020-05-04,0.0,,,16,,
Gateshead,E08000037,Upper tier local authority,2020-05-04,5.0,,,887,,
Wakefield,E08000036,Upper tier local authority,2020-05-04,0.0,,,572,,
Leeds,E08000035,Upper tier local authority,2020-05-04,0.0,,,1513,,
Kirklees,E08000034,Upper tier local authority,2020-05-04,4.0,,,621,,
Calderdale,E08000033,Upper tier local authority,2020-05-04,2.0,,,259,,
Bradford,E08000032,Upper tier local authority,2020-05-04,7.0,,,1001,,
Wolverhampton,E08000031,Upper tier local authority,2020-05-04,0.0,,,887,,
Walsall,E08000030,Upper tier local authority,2020-05-04,0.0,,,1010,,
Solihull,E08000029,Upper tier local authority,2020-05-04,0.0,,,586,,
Sandwell,E08000028,Upper tier local authority,2020-05-04,0.0,,,1050,,
Dudley,E08000027,Upper tier local authority,2020-05-04,0.0,,,843,,
Coventry,E08000026,Upper tier local authority,2020-05-04,0.0,,,709,,
Birmingham,E08000025,Upper tier local authority,2020-05-04,0.0,,,2954,,
Sunderland,E08000024,Upper tier local authority,2020-05-04,4.0,,,1223,,
South Tyneside,E08000023,Upper tier local authority,2020-05-04,1.0,,,610,,
North Tyneside,E08000022,Upper tier local authority,2020-05-04,0.0,,,493,,
Newcastle upon Tyne,E08000021,Upper tier local authority,2020-05-04,1.0,,,946,,
Sheffield,E08000019,Upper tier local authority,2020-05-04,10.0,,,2248,,
Rotherham,E08000018,Upper tier local authority,2020-05-04,1.0,,,761,,
Doncaster,E08000017,Upper tier local authority,2020-05-04,0.0,,,522,,
Barnsley,E08000016,Upper tier local authority,2020-05-04,4.0,,,705,,
Wirral,E08000015,Upper tier local authority,2020-05-04,0.0,,,1056,,
Sefton,E08000014,Upper tier local authority,2020-05-04,0.0,,,841,,
St. Helens,E08000013,Upper tier local authority,2020-05-04,0.0,,,678,,
Liverpool,E08000012,Upper tier local authority,2020-05-04,0.0,,,1483,,
Knowsley,E08000011,Upper tier local authority,2020-05-04,0.0,,,583,,
Wigan,E08000010,Upper tier local authority,2020-05-04,0.0,,,818,,
Trafford,E08000009,Upper tier local authority,2020-05-04,0.0,,,637,,
Tameside,E08000008,Upper tier local authority,2020-05-04,0.0,,,489,,
Stockport,E08000007,Upper tier local authority,2020-05-04,0.0,,,896,,
Salford,E08000006,Upper tier local authority,2020-05-04,0.0,,,758,,
Rochdale,E08000005,Upper tier local authority,2020-05-04,0.0,,,557,,
Oldham,E08000004,Upper tier local authority,2020-05-04,0.0,,,798,,
Manchester,E08000003,Upper tier local authority,2020-05-04,0.0,,,1192,,
Bury,E08000002,Upper tier local authority,2020-05-04,0.0,,,577,,
Bolton,E08000001,Upper tier local authority,2020-05-04,0.0,,,833,,
Dorset,E06000059,Upper tier local authority,2020-05-04,1.0,,,330,,
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,2020-05-04,0.0,,,420,,
Northumberland,E06000057,Upper tier local authority,2020-05-04,0.0,,,813,,
Central Bedfordshire,E06000056,Upper tier local authority,2020-05-04,0.0,,,513,,
Bedford,E06000055,Upper tier local authority,2020-05-04,0.0,,,471,,
Wiltshire,E06000054,Upper tier local authority,2020-05-04,0.0,,,465,,
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,2020-05-04,3.0,,,522,,
Shropshire,E06000051,Upper tier local authority,2020-05-04,0.0,,,548,,
Cheshire West and Chester,E06000050,Upper tier local authority,2020-05-04,0.0,,,868,,
Cheshire East,E06000049,Upper tier local authority,2020-05-04,1.0,,,937,,
County Durham,E06000047,Upper tier local authority,2020-05-04,2.0,,,1551,,
Isle of Wight,E06000046,Upper tier local authority,2020-05-04,1.0,,,145,,
Southampton,E06000045,Upper tier local authority,2020-05-04,7.0,,,509,,
Portsmouth,E06000044,Upper tier local authority,2020-05-04,0.0,,,296,,
Brighton and Hove,E06000043,Upper tier local authority,2020-05-04,0.0,,,386,,
Milton Keynes,E06000042,Upper tier local authority,2020-05-04,0.0,,,479,,
Wokingham,E06000041,Upper tier local authority,2020-05-04,0.0,,,397,,
Windsor and Maidenhead,E06000040,Upper tier local authority,2020-05-04,0.0,,,261,,
Slough,E06000039,Upper tier local authority,2020-05-04,0.0,,,417,,
Reading,E06000038,Upper tier local authority,2020-05-04,0.0,,,507,,
West Berkshire,E06000037,Upper tier local authority,2020-05-04,0.0,,,335,,
Bracknell Forest,E06000036,Upper tier local authority,2020-05-04,0.0,,,222,,
Medway,E06000035,Upper tier local authority,2020-05-04,0.0,,,652,,
Thurrock,E06000034,Upper tier local authority,2020-05-04,0.0,,,289,,
Southend-on-Sea,E06000033,Upper tier local authority,2020-05-04,0.0,,,300,,
Luton,E06000032,Upper tier local authority,2020-05-04,0.0,,,628,,
Peterborough,E06000031,Upper tier local authority,2020-05-04,0.0,,,265,,
Swindon,E06000030,Upper tier local authority,2020-05-04,0.0,,,384,,
Torbay,E06000027,Upper tier local authority,2020-05-04,0.0,,,209,,
Plymouth,E06000026,Upper tier local authority,2020-05-04,2.0,,,305,,
South Gloucestershire,E06000025,Upper tier local authority,2020-05-04,0.0,,,358,,
North Somerset,E06000024,Upper tier local authority,2020-05-04,0.0,,,257,,
"Bristol, City of",E06000023,Upper tier local authority,2020-05-04,0.0,,,634,,
Bath and North East Somerset,E06000022,Upper tier local authority,2020-05-04,0.0,,,217,,
Stoke-on-Trent,E06000021,Upper tier local authority,2020-05-04,3.0,,,532,,
Telford and Wrekin,E06000020,Upper tier local authority,2020-05-04,0.0,,,289,,
"Herefordshire, County of",E06000019,Upper tier local authority,2020-05-04,0.0,,,323,,
