Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Previously reported daily cases,Change in daily cases,Cumulative lab-confirmed cases,Previously reported cumulative cases,Change in cumulative cases
England,E92000001,Nation,2020-04-27,103.0,0.0,103.0,114456,112467.0,1989.0
South West,E12000009,Region,2020-04-27,4.0,,,5986,,
South East,E12000008,Region,2020-04-27,7.0,,,16323,,
London,E12000007,Region,2020-04-27,6.0,,,23979,,
East of England,E12000006,Region,2020-04-27,1.0,,,9907,,
West Midlands,E12000005,Region,2020-04-27,14.0,,,12393,,
East Midlands,E12000004,Region,2020-04-27,8.0,,,6411,,
Yorkshire and The Humber,E12000003,Region,2020-04-27,55.0,,,9499,,
North West,E12000002,Region,2020-04-27,3.0,,,17823,,
North East,E12000001,Region,2020-04-27,2.0,,,7174,,
Worcestershire,E10000034,Upper tier local authority,2020-04-27,0.0,,,1072,,
West Sussex,E10000032,Upper tier local authority,2020-04-27,0.0,,,1061,,
Warwickshire,E10000031,Upper tier local authority,2020-04-27,0.0,,,1090,,
Surrey,E10000030,Upper tier local authority,2020-04-27,0.0,,,2462,,
Suffolk,E10000029,Upper tier local authority,2020-04-27,0.0,,,987,,
Staffordshire,E10000028,Upper tier local authority,2020-04-27,7.0,,,1637,,
Somerset,E10000027,Upper tier local authority,2020-04-27,0.0,,,462,,
Oxfordshire,E10000025,Upper tier local authority,2020-04-27,0.0,,,1489,,
Nottinghamshire,E10000024,Upper tier local authority,2020-04-27,0.0,,,1022,,
North Yorkshire,E10000023,Upper tier local authority,2020-04-27,5.0,,,864,,
Northamptonshire,E10000021,Upper tier local authority,2020-04-27,3.0,,,1008,,
Norfolk,E10000020,Upper tier local authority,2020-04-27,0.0,,,1386,,
Lincolnshire,E10000019,Upper tier local authority,2020-04-27,0.0,,,804,,
Leicestershire,E10000018,Upper tier local authority,2020-04-27,1.0,,,874,,
Lancashire,E10000017,Upper tier local authority,2020-04-27,0.0,,,2634,,
Kent,E10000016,Upper tier local authority,2020-04-27,0.0,,,3243,,
Hertfordshire,E10000015,Upper tier local authority,2020-04-27,1.0,,,2183,,
Hampshire,E10000014,Upper tier local authority,2020-04-27,3.0,,,2652,,
Gloucestershire,E10000013,Upper tier local authority,2020-04-27,0.0,,,1139,,
Essex,E10000012,Upper tier local authority,2020-04-27,0.0,,,2424,,
East Sussex,E10000011,Upper tier local authority,2020-04-27,2.0,,,524,,
Devon,E10000008,Upper tier local authority,2020-04-27,1.0,,,658,,
Derbyshire,E10000007,Upper tier local authority,2020-04-27,0.0,,,1119,,
Cumbria,E10000006,Upper tier local authority,2020-04-27,0.0,,,1761,,
Cambridgeshire,E10000003,Upper tier local authority,2020-04-27,0.0,,,703,,
Buckinghamshire,E10000002,Upper tier local authority,2020-04-27,0.0,,,784,,
