Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Previously reported daily cases,Change in daily cases,Cumulative lab-confirmed cases,Previously reported cumulative cases,Change in cumulative cases
England,E92000001,Nation,2020-04-30,85.0,0.0,85.0,120614,118343.0,2271.0
South West,E12000009,Region,2020-04-30,0.0,,,6304,,
South East,E12000008,Region,2020-04-30,10.0,,,17095,,
London,E12000007,Region,2020-04-30,3.0,,,24477,,
East of England,E12000006,Region,2020-04-30,5.0,,,10512,,
West Midlands,E12000005,Region,2020-04-30,7.0,,,13163,,
East Midlands,E12000004,Region,2020-04-30,6.0,,,6879,,
Yorkshire and The Humber,E12000003,Region,2020-04-30,19.0,,,10254,,
North West,E12000002,Region,2020-04-30,6.0,,,18943,,
North East,E12000001,Region,2020-04-30,21.0,,,7813,,
Worcestershire,E10000034,Upper tier local authority,2020-04-30,0.0,,,1139,,
West Sussex,E10000032,Upper tier local authority,2020-04-30,0.0,,,1126,,
Warwickshire,E10000031,Upper tier local authority,2020-04-30,0.0,,,1164,,
Surrey,E10000030,Upper tier local authority,2020-04-30,0.0,,,2559,,
Suffolk,E10000029,Upper tier local authority,2020-04-30,0.0,,,1046,,
Staffordshire,E10000028,Upper tier local authority,2020-04-30,1.0,,,1730,,
Somerset,E10000027,Upper tier local authority,2020-04-30,0.0,,,492,,
Oxfordshire,E10000025,Upper tier local authority,2020-04-30,0.0,,,1552,,
Nottinghamshire,E10000024,Upper tier local authority,2020-04-30,1.0,,,1118,,
North Yorkshire,E10000023,Upper tier local authority,2020-04-30,0.0,,,932,,
Northamptonshire,E10000021,Upper tier local authority,2020-04-30,0.0,,,1036,,
Norfolk,E10000020,Upper tier local authority,2020-04-30,4.0,,,1524,,
Lincolnshire,E10000019,Upper tier local authority,2020-04-30,0.0,,,834,,
Leicestershire,E10000018,Upper tier local authority,2020-04-30,1.0,,,927,,
Lancashire,E10000017,Upper tier local authority,2020-04-30,0.0,,,2773,,
Kent,E10000016,Upper tier local authority,2020-04-30,0.0,,,3356,,
Hertfordshire,E10000015,Upper tier local authority,2020-04-30,1.0,,,2271,,
Hampshire,E10000014,Upper tier local authority,2020-04-30,2.0,,,2781,,
Gloucestershire,E10000013,Upper tier local authority,2020-04-30,0.0,,,1214,,
Essex,E10000012,Upper tier local authority,2020-04-30,0.0,,,2540,,
East Sussex,E10000011,Upper tier local authority,2020-04-30,3.0,,,580,,
Devon,E10000008,Upper tier local authority,2020-04-30,0.0,,,701,,
Derbyshire,E10000007,Upper tier local authority,2020-04-30,3.0,,,1272,,
Cumbria,E10000006,Upper tier local authority,2020-04-30,0.0,,,1888,,
Cambridgeshire,E10000003,Upper tier local authority,2020-04-30,0.0,,,753,,
Buckinghamshire,E10000002,Upper tier local authority,2020-04-30,0.0,,,816,,
Westminster,E09000033,Upper tier local authority,2020-04-30,0.0,,,596,,
Wandsworth,E09000032,Upper tier local authority,2020-04-30,0.0,,,917,,
Waltham Forest,E09000031,Upper tier local authority,2020-04-30,2.0,,,723,,
Tower Hamlets,E09000030,Upper tier local authority,2020-04-30,0.0,,,598,,
Sutton,E09000029,Upper tier local authority,2020-04-30,0.0,,,666,,
Southwark,E09000028,Upper tier local authority,2020-04-30,0.0,,,1186,,
Richmond upon Thames,E09000027,Upper tier local authority,2020-04-30,0.0,,,364,,
Redbridge,E09000026,Upper tier local authority,2020-04-30,0.0,,,672,,
Newham,E09000025,Upper tier local authority,2020-04-30,1.0,,,948,,
Merton,E09000024,Upper tier local authority,2020-04-30,0.0,,,650,,
Lewisham,E09000023,Upper tier local authority,2020-04-30,0.0,,,918,,
Lambeth,E09000022,Upper tier local authority,2020-04-30,0.0,,,1131,,
Kingston upon Thames,E09000021,Upper tier local authority,2020-04-30,0.0,,,444,,
Kensington and Chelsea,E09000020,Upper tier local authority,2020-04-30,0.0,,,461,,
Islington,E09000019,Upper tier local authority,2020-04-30,0.0,,,410,,
Hounslow,E09000018,Upper tier local authority,2020-04-30,0.0,,,645,,
Hillingdon,E09000017,Upper tier local authority,2020-04-30,0.0,,,722,,
Havering,E09000016,Upper tier local authority,2020-04-30,0.0,,,633,,
Harrow,E09000015,Upper tier local authority,2020-04-30,0.0,,,909,,
Haringey,E09000014,Upper tier local authority,2020-04-30,0.0,,,546,,
Hammersmith and Fulham,E09000013,Upper tier local authority,2020-04-30,0.0,,,608,,
Hackney,E09000012,Upper tier local authority,2020-04-30,0.0,,,604,,
Greenwich,E09000011,Upper tier local authority,2020-04-30,0.0,,,627,,
Enfield,E09000010,Upper tier local authority,2020-04-30,0.0,,,831,,
Ealing,E09000009,Upper tier local authority,2020-04-30,0.0,,,1052,,
Croydon,E09000008,Upper tier local authority,2020-04-30,0.0,,,1379,,
Camden,E09000007,Upper tier local authority,2020-04-30,0.0,,,571,,
Bromley,E09000006,Upper tier local authority,2020-04-30,0.0,,,1047,,
Brent,E09000005,Upper tier local authority,2020-04-30,0.0,,,1344,,
Bexley,E09000004,Upper tier local authority,2020-04-30,0.0,,,613,,
Barnet,E09000003,Upper tier local authority,2020-04-30,0.0,,,1193,,
Barking and Dagenham,E09000002,Upper tier local authority,2020-04-30,0.0,,,453,,
City of London,E09000001,Upper tier local authority,2020-04-30,0.0,,,16,,
Gateshead,E08000037,Upper tier local authority,2020-04-30,2.0,,,834,,
Wakefield,E08000036,Upper tier local authority,2020-04-30,0.0,,,521,,
Leeds,E08000035,Upper tier local authority,2020-04-30,0.0,,,1394,,
Kirklees,E08000034,Upper tier local authority,2020-04-30,1.0,,,562,,
Calderdale,E08000033,Upper tier local authority,2020-04-30,1.0,,,241,,
Bradford,E08000032,Upper tier local authority,2020-04-30,0.0,,,864,,
Wolverhampton,E08000031,Upper tier local authority,2020-04-30,0.0,,,812,,
Walsall,E08000030,Upper tier local authority,2020-04-30,0.0,,,957,,
Solihull,E08000029,Upper tier local authority,2020-04-30,0.0,,,569,,
Sandwell,E08000028,Upper tier local authority,2020-04-30,1.0,,,1005,,
Dudley,E08000027,Upper tier local authority,2020-04-30,0.0,,,754,,
Coventry,E08000026,Upper tier local authority,2020-04-30,0.0,,,657,,
Birmingham,E08000025,Upper tier local authority,2020-04-30,0.0,,,2844,,
Sunderland,E08000024,Upper tier local authority,2020-04-30,5.0,,,1164,,
South Tyneside,E08000023,Upper tier local authority,2020-04-30,6.0,,,565,,
North Tyneside,E08000022,Upper tier local authority,2020-04-30,0.0,,,468,,
Newcastle upon Tyne,E08000021,Upper tier local authority,2020-04-30,0.0,,,900,,
Sheffield,E08000019,Upper tier local authority,2020-04-30,11.0,,,2132,,
Rotherham,E08000018,Upper tier local authority,2020-04-30,1.0,,,706,,
Doncaster,E08000017,Upper tier local authority,2020-04-30,2.0,,,472,,
Barnsley,E08000016,Upper tier local authority,2020-04-30,2.0,,,639,,
Wirral,E08000015,Upper tier local authority,2020-04-30,0.0,,,1002,,
Sefton,E08000014,Upper tier local authority,2020-04-30,0.0,,,800,,
St. Helens,E08000013,Upper tier local authority,2020-04-30,1.0,,,645,,
Liverpool,E08000012,Upper tier local authority,2020-04-30,0.0,,,1403,,
Knowsley,E08000011,Upper tier local authority,2020-04-30,0.0,,,530,,
Wigan,E08000010,Upper tier local authority,2020-04-30,0.0,,,670,,
Trafford,E08000009,Upper tier local authority,2020-04-30,1.0,,,592,,
Tameside,E08000008,Upper tier local authority,2020-04-30,0.0,,,453,,
Stockport,E08000007,Upper tier local authority,2020-04-30,1.0,,,816,,
Salford,E08000006,Upper tier local authority,2020-04-30,0.0,,,612,,
Rochdale,E08000005,Upper tier local authority,2020-04-30,0.0,,,456,,
Oldham,E08000004,Upper tier local authority,2020-04-30,0.0,,,622,,
Manchester,E08000003,Upper tier local authority,2020-04-30,0.0,,,1092,,
Bury,E08000002,Upper tier local authority,2020-04-30,0.0,,,483,,
Bolton,E08000001,Upper tier local authority,2020-04-30,0.0,,,763,,
Dorset,E06000059,Upper tier local authority,2020-04-30,0.0,,,308,,
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,2020-04-30,0.0,,,406,,
Northumberland,E06000057,Upper tier local authority,2020-04-30,4.0,,,776,,
Central Bedfordshire,E06000056,Upper tier local authority,2020-04-30,0.0,,,497,,
Bedford,E06000055,Upper tier local authority,2020-04-30,0.0,,,439,,
Wiltshire,E06000054,Upper tier local authority,2020-04-30,0.0,,,434,,
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,2020-04-30,0.0,,,496,,
Shropshire,E06000051,Upper tier local authority,2020-04-30,0.0,,,499,,
Cheshire West and Chester,E06000050,Upper tier local authority,2020-04-30,0.0,,,800,,
Cheshire East,E06000049,Upper tier local authority,2020-04-30,2.0,,,869,,
County Durham,E06000047,Upper tier local authority,2020-04-30,2.0,,,1407,,
Isle of Wight,E06000046,Upper tier local authority,2020-04-30,0.0,,,122,,
Southampton,E06000045,Upper tier local authority,2020-04-30,4.0,,,473,,
Portsmouth,E06000044,Upper tier local authority,2020-04-30,1.0,,,285,,
Brighton and Hove,E06000043,Upper tier local authority,2020-04-30,0.0,,,373,,
Milton Keynes,E06000042,Upper tier local authority,2020-04-30,0.0,,,451,,
Wokingham,E06000041,Upper tier local authority,2020-04-30,0.0,,,366,,
Windsor and Maidenhead,E06000040,Upper tier local authority,2020-04-30,0.0,,,251,,
Slough,E06000039,Upper tier local authority,2020-04-30,0.0,,,382,,
Reading,E06000038,Upper tier local authority,2020-04-30,0.0,,,474,,
West Berkshire,E06000037,Upper tier local authority,2020-04-30,0.0,,,316,,
Bracknell Forest,E06000036,Upper tier local authority,2020-04-30,0.0,,,212,,
Medway,E06000035,Upper tier local authority,2020-04-30,0.0,,,620,,
Thurrock,E06000034,Upper tier local authority,2020-04-30,0.0,,,276,,
Southend-on-Sea,E06000033,Upper tier local authority,2020-04-30,0.0,,,296,,
Luton,E06000032,Upper tier local authority,2020-04-30,0.0,,,624,,
Peterborough,E06000031,Upper tier local authority,2020-04-30,0.0,,,246,,
Swindon,E06000030,Upper tier local authority,2020-04-30,0.0,,,367,,
Torbay,E06000027,Upper tier local authority,2020-04-30,0.0,,,202,,
Plymouth,E06000026,Upper tier local authority,2020-04-30,0.0,,,287,,
South Gloucestershire,E06000025,Upper tier local authority,2020-04-30,0.0,,,344,,
North Somerset,E06000024,Upper tier local authority,2020-04-30,0.0,,,234,,
"Bristol, City of",E06000023,Upper tier local authority,2020-04-30,0.0,,,608,,
Bath and North East Somerset,E06000022,Upper tier local authority,2020-04-30,0.0,,,211,,
Stoke-on-Trent,E06000021,Upper tier local authority,2020-04-30,5.0,,,471,,
Telford and Wrekin,E06000020,Upper tier local authority,2020-04-30,0.0,,,260,,
"Herefordshire, County of",E06000019,Upper tier local authority,2020-04-30,0.0,,,302,,
Nottingham,E06000018,Upper tier local authority,2020-04-30,0.0,,,518,,
Rutland,E06000017,Upper tier local authority,2020-04-30,0.0,,,20,,
Leicester,E06000016,Upper tier local authority,2020-04-30,0.0,,,664,,
Derby,E06000015,Upper tier local authority,2020-04-30,1.0,,,490,,
York,E06000014,Upper tier local authority,2020-04-30,0.0,,,282,,
North Lincolnshire,E06000013,Upper tier local authority,2020-04-30,0.0,,,351,,
North East Lincolnshire,E06000012,Upper tier local authority,2020-04-30,0.0,,,134,,
East Riding of Yorkshire,E06000011,Upper tier local authority,2020-04-30,1.0,,,584,,
